message;severity;node;stamp;location
"Oh no! I hit the wall! (Clamping from [x=5.775915, y=-0.017579])";"30";"turtlesim2.sim";"1758257030.815046997";"/home/nikelau/ros2_ws/src/ros_tutorials/turtlesim/src/turtle.cpp:update:288"
"Oh no! I hit the wall! (Clamping from [x=5.749176, y=-0.017579])";"30";"turtlesim1.sim";"1758257030.812863181";"/home/nikelau/ros2_ws/src/ros_tutorials/turtlesim/src/turtle.cpp:update:288"
"Oh no! I hit the wall! (Clamping from [x=5.802654, y=-0.017579])";"30";"turtlesim3.sim";"1758257030.812602737";"/home/nikelau/ros2_ws/src/ros_tutorials/turtlesim/src/turtle.cpp:update:288"
"Oh no! I hit the wall! (Clamping from [x=5.802654, y=-0.017579])";"30";"turtlesim2.sim";"1758257030.798700011";"/home/nikelau/ros2_ws/src/ros_tutorials/turtlesim/src/turtle.cpp:update:288"
"Oh no! I hit the wall! (Clamping from [x=5.775915, y=-0.017579])";"30";"turtlesim1.sim";"1758257030.796355652";"/home/nikelau/ros2_ws/src/ros_tutorials/turtlesim/src/turtle.cpp:update:288"
"Oh no! I hit the wall! (Clamping from [x=5.829393, y=-0.009656])";"30";"turtlesim3.sim";"1758257030.796247771";"/home/nikelau/ros2_ws/src/ros_tutorials/turtlesim/src/turtle.cpp:update:288"
"Oh no! I hit the wall! (Clamping from [x=5.829393, y=-0.009656])";"30";"turtlesim2.sim";"1758257030.782556448";"/home/nikelau/ros2_ws/src/ros_tutorials/turtlesim/src/turtle.cpp:update:288"
"Oh no! I hit the wall! (Clamping from [x=5.802654, y=-0.017579])";"30";"turtlesim1.sim";"1758257030.780879371";"/home/nikelau/ros2_ws/src/ros_tutorials/turtlesim/src/turtle.cpp:update:288"
"Oh no! I hit the wall! (Clamping from [x=5.829393, y=-0.009656])";"30";"turtlesim1.sim";"1758257030.764406003";"/home/nikelau/ros2_ws/src/ros_tutorials/turtlesim/src/turtle.cpp:update:288"
"Oh no! I hit the wall! (Clamping from [x=11.120480, y=4.773706])";"30";"turtlesim3.sim";"1758257022.940724160";"/home/nikelau/ros2_ws/src/ros_tutorials/turtlesim/src/turtle.cpp:update:288"
"Oh no! I hit the wall! (Clamping from [x=11.120480, y=4.773706])";"30";"turtlesim2.sim";"1758257022.926572969";"/home/nikelau/ros2_ws/src/ros_tutorials/turtlesim/src/turtle.cpp:update:288"
"Oh no! I hit the wall! (Clamping from [x=11.120480, y=4.778804])";"30";"turtlesim3.sim";"1758257022.924353143";"/home/nikelau/ros2_ws/src/ros_tutorials/turtlesim/src/turtle.cpp:update:288"
"Oh no! I hit the wall! (Clamping from [x=11.120480, y=4.778804])";"30";"turtlesim2.sim";"1758257022.911086357";"/home/nikelau/ros2_ws/src/ros_tutorials/turtlesim/src/turtle.cpp:update:288"
"Oh no! I hit the wall! (Clamping from [x=11.120480, y=4.783902])";"30";"turtlesim3.sim";"1758257022.908928862";"/home/nikelau/ros2_ws/src/ros_tutorials/turtlesim/src/turtle.cpp:update:288"
"Oh no! I hit the wall! (Clamping from [x=11.120480, y=4.773706])";"30";"turtlesim1.sim";"1758257022.908364993";"/home/nikelau/ros2_ws/src/ros_tutorials/turtlesim/src/turtle.cpp:update:288"
"Oh no! I hit the wall! (Clamping from [x=11.120480, y=4.783902])";"30";"turtlesim2.sim";"1758257022.894887853";"/home/nikelau/ros2_ws/src/ros_tutorials/turtlesim/src/turtle.cpp:update:288"
"Oh no! I hit the wall! (Clamping from [x=11.120480, y=4.789000])";"30";"turtlesim3.sim";"1758257022.892902320";"/home/nikelau/ros2_ws/src/ros_tutorials/turtlesim/src/turtle.cpp:update:288"
"Oh no! I hit the wall! (Clamping from [x=11.120480, y=4.778804])";"30";"turtlesim1.sim";"1758257022.891980315";"/home/nikelau/ros2_ws/src/ros_tutorials/turtlesim/src/turtle.cpp:update:288"
"Oh no! I hit the wall! (Clamping from [x=11.120480, y=4.789000])";"30";"turtlesim2.sim";"1758257022.878410924";"/home/nikelau/ros2_ws/src/ros_tutorials/turtlesim/src/turtle.cpp:update:288"
"Oh no! I hit the wall! (Clamping from [x=11.103882, y=4.794099])";"30";"turtlesim3.sim";"1758257022.876808748";"/home/nikelau/ros2_ws/src/ros_tutorials/turtlesim/src/turtle.cpp:update:288"
"Oh no! I hit the wall! (Clamping from [x=11.120480, y=4.783902])";"30";"turtlesim1.sim";"1758257022.876553144";"/home/nikelau/ros2_ws/src/ros_tutorials/turtlesim/src/turtle.cpp:update:288"
"Oh no! I hit the wall! (Clamping from [x=11.103882, y=4.794099])";"30";"turtlesim2.sim";"1758257022.862839300";"/home/nikelau/ros2_ws/src/ros_tutorials/turtlesim/src/turtle.cpp:update:288"
"Oh no! I hit the wall! (Clamping from [x=11.120480, y=4.789000])";"30";"turtlesim1.sim";"1758257022.860055734";"/home/nikelau/ros2_ws/src/ros_tutorials/turtlesim/src/turtle.cpp:update:288"
"Oh no! I hit the wall! (Clamping from [x=11.103882, y=4.794099])";"30";"turtlesim1.sim";"1758257022.844449100";"/home/nikelau/ros2_ws/src/ros_tutorials/turtlesim/src/turtle.cpp:update:288"
"Spawning turtle [turtle1] at x=[5.544445], y=[5.544445], theta=[0.000000]";"20";"turtlesim1.sim";"1758256866.605985556";"/home/nikelau/ros2_ws/src/ros_tutorials/turtlesim/src/turtle_frame.cpp:spawnTurtle:248"
"Spawning turtle [turtle1] at x=[5.544445], y=[5.544445], theta=[0.000000]";"20";"turtlesim2.sim";"1758256866.604536362";"/home/nikelau/ros2_ws/src/ros_tutorials/turtlesim/src/turtle_frame.cpp:spawnTurtle:248"
"Spawning turtle [turtle1] at x=[5.544445], y=[5.544445], theta=[0.000000]";"20";"turtlesim3.sim";"1758256866.604306158";"/home/nikelau/ros2_ws/src/ros_tutorials/turtlesim/src/turtle_frame.cpp:spawnTurtle:248"
"Starting turtlesim with node name /turtlesim1/sim";"20";"turtlesim1.sim";"1758256866.600427052";"/home/nikelau/ros2_ws/src/ros_tutorials/turtlesim/src/turtle_frame.cpp:TurtleFrame:147"
"Starting turtlesim with node name /turtlesim2/sim";"20";"turtlesim2.sim";"1758256866.599229891";"/home/nikelau/ros2_ws/src/ros_tutorials/turtlesim/src/turtle_frame.cpp:TurtleFrame:147"
"Starting turtlesim with node name /turtlesim3/sim";"20";"turtlesim3.sim";"1758256866.599132250";"/home/nikelau/ros2_ws/src/ros_tutorials/turtlesim/src/turtle_frame.cpp:TurtleFrame:147"
